priority,status,score,entity_id,entity_type,canonical_name,description_words,connected_statements,required_statements,evidenced_statements,gaps
P4,catalog,0,45ab78f7-6618-74be-b6ba-653791dfa090,brand,Armstrong Siddeley,38,0,3,0,editorial_promotion_required
P4,catalog,0,e8471690-b9ba-7f7d-8f55-447f71191d0b,brand,Arrival,38,0,3,0,editorial_promotion_required
P4,catalog,0,df0e4464-fc69-7528-96b1-ddddc06bec1c,brand,Asia Motors,39,0,3,0,editorial_promotion_required
P4,catalog,0,c04c5641-b3fb-7b23-9934-a6ce4093b62d,brand,Aspark,37,0,3,0,editorial_promotion_required
P4,catalog,0,93481707-6265-771f-bdbf-a94d2ffb95f2,brand,Aspid,39,0,3,0,editorial_promotion_required
P4,catalog,0,546a6134-978a-76c2-9089-9a04fd4e77b7,brand,Aston Martin,38,1,3,1,editorial_promotion_required
P4,catalog,0,a697eb32-1d8f-76a0-a296-afc127e98025,brand,Ather,41,0,3,0,editorial_promotion_required
P4,catalog,0,e77d8a98-06cb-76e0-b7a4-818b4ff269bf,brand,Auburn,37,0,3,0,editorial_promotion_required
P2,substantial,76.7,01a01028-5452-7d2d-8df1-441ee5876d0f,brand,Audi,45,1,3,1,connected_statements<3
P4,catalog,0,6414a9ad-3980-78c2-9f5c-927fc3d3dc54,brand,Aurus,40,0,3,0,editorial_promotion_required
P4,catalog,0,7ba9461a-6da8-7346-b030-cd7e97d9f1fa,brand,Austin,24,0,3,0,editorial_promotion_required
P4,catalog,0,c8358283-6e88-766e-9ab5-0b6763afc0d2,brand,Austin-Healey,38,0,3,0,editorial_promotion_required
P4,catalog,0,62611458-1c6c-7e2b-875e-8a5ec0c0b775,brand,Austro-Daimler,38,0,3,0,editorial_promotion_required
P4,catalog,0,36208b5a-ed16-7622-b673-3d691deb2795,brand,Autech,37,0,3,0,editorial_promotion_required
P4,catalog,0,c103820b-7fe0-7eb8-becf-8c52552a3391,brand,Authi,39,0,3,0,editorial_promotion_required
P4,catalog,0,4fa1fa2b-3a33-76df-840a-5f4e0437f62f,brand,Auto Union,38,0,3,0,editorial_promotion_required
P4,catalog,0,30a402f0-027f-7110-b7b4-c3a95b9dfbd3,brand,Autoar,29,0,3,0,editorial_promotion_required
P4,catalog,0,ce5cae62-0412-7b7c-98f0-431d3fe5f5ca,brand,Autobianchi,40,0,3,0,editorial_promotion_required
P4,catalog,0,3d138a11-b437-7df5-9233-0be77a5ee5d2,brand,Autozam,37,0,3,0,editorial_promotion_required
P4,catalog,0,0e5a19d4-754e-7207-8567-5753ab2534be,brand,Avanti,37,0,3,0,editorial_promotion_required
P4,catalog,0,5db607bb-ca69-7a5e-9334-e26e7473e4fe,brand,Avatr,39,0,3,0,editorial_promotion_required
P4,catalog,0,4c8bf8d4-77a2-7a87-a2b9-2625664e4e09,brand,Avia,40,0,3,0,editorial_promotion_required
P4,catalog,0,66f6198a-cf5f-73c6-8101-a3102bc80d38,brand,BAC,38,0,3,0,editorial_promotion_required
P4,catalog,0,e3692289-1361-7cba-9ced-b973d120018f,brand,BAIC,39,0,3,0,editorial_promotion_required
P4,catalog,0,595117cd-7b25-705e-97ac-aa22a18bc53c,brand,BMW,38,0,3,0,editorial_promotion_required
P4,catalog,0,4c00601f-1cf8-7187-99b3-5a0cc366e70e,brand,BYD,39,0,3,0,editorial_promotion_required
P4,catalog,0,cc7bef3a-6372-7b72-9397-7b187c194175,brand,Bahman,41,0,3,0,editorial_promotion_required
P4,catalog,0,f99ca332-d439-75a7-a376-530b8001f88d,brand,Bailey,39,0,3,0,editorial_promotion_required
P4,catalog,0,1ffc234c-ff14-7f5c-84a9-082c987e9a83,brand,Bajaj,41,0,3,0,editorial_promotion_required
P4,catalog,0,ed8b5282-24ac-7e46-9518-78072f653da4,brand,Ballot,38,0,3,0,editorial_promotion_required
P4,catalog,0,65042210-404c-7b6c-b17e-67a54b82488c,brand,Bandini,40,0,3,0,editorial_promotion_required
P4,catalog,0,86520623-11fb-70c5-bbdf-009e76b96fff,brand,Baojun,39,0,3,0,editorial_promotion_required
P4,catalog,0,ae6eab0c-a17e-76d6-8d8f-8173dae9fc8c,brand,Barkas,40,0,3,0,editorial_promotion_required
P4,catalog,0,ab732c4c-c9be-7b58-9f92-cdbeb201b6cf,brand,Bentley,38,0,3,0,editorial_promotion_required
P4,catalog,0,992b1a6f-6c76-7307-b2ee-2b15f38d95f8,brand,Benz,29,0,3,0,editorial_promotion_required
P4,catalog,0,2ec1f810-7827-715b-a56f-6d5379f3912d,brand,Berkeley,38,0,3,0,editorial_promotion_required
P4,catalog,0,be240501-ae3f-710e-aaa8-c9af896183ff,brand,Bertone,40,0,3,0,editorial_promotion_required
P4,catalog,0,67e5d433-b96c-7fa4-9cdc-aa42ad799a79,brand,Bestune,39,0,3,0,editorial_promotion_required
P4,catalog,0,e7b822ff-4d62-7b8f-aee3-26a36693a899,brand,Birkin,8,0,3,0,editorial_promotion_required
P4,catalog,0,6efe17bf-63d0-70e5-8365-cd3566c49951,brand,Biscúter,39,0,3,0,editorial_promotion_required
P4,catalog,0,fc290f3e-d411-753c-9843-a877a2d93a2d,brand,Bizzarrini,40,0,3,0,editorial_promotion_required
P4,catalog,0,a1b7ee76-dcbd-7683-b73b-0f1d63be0ab0,brand,Bognor,7,0,3,0,editorial_promotion_required
P4,catalog,0,72b3967e-aa3c-77a9-a5a2-dab051f02b89,brand,Bolwell,39,0,3,0,editorial_promotion_required
P4,catalog,0,b925657e-81d3-7546-a134-a19bcfb39333,brand,Bond,38,0,3,0,editorial_promotion_required
P4,catalog,0,01409b9a-d3c4-7375-a0a5-3d8cc4d57b9a,brand,Borgward,38,0,3,0,editorial_promotion_required
P4,catalog,0,3c1ca735-a031-75db-992d-f172bc6b5d23,brand,Brabham Automotive,39,0,3,0,editorial_promotion_required
P4,catalog,0,c63ba633-f1c3-73b8-ac11-5f439b6eb13f,brand,Brasinca,29,0,3,0,editorial_promotion_required
P4,catalog,0,bbf3469b-a97c-7bf0-bc9a-f0792bfbf8fa,brand,Bricklin,37,0,3,0,editorial_promotion_required
P4,catalog,0,1223e264-22d0-7752-b6ce-01fdbaaf330f,brand,Brilliance,39,0,3,0,editorial_promotion_required
